40	3
0.1137	0.1741	0.3643	
0.7345	0.5752	0.0986	
0.8900	0.4590	0.6100	
0.4429	0.8829	0.2234	
0.4081	0.0065	0.5807	
0.4139	0.3674	0.3305	
0.8787	0.1627	0.7465	
0.5272	0.0763	0.7816	
0.1277	0.9012	0.1191	
0.2115	0.4279	0.4310	
0.1682	0.5465	0.1453	
0.3547	0.0870	0.0995	
0.3646	0.5889	0.5137	
0.5517	0.4079	0.1851	
0.1313	0.6126	0.7253	
0.7104	0.0403	0.0386	
0.3550	0.0480	0.1752	
0.6471	0.4574	0.8486	
0.4253	0.8195	0.8299	
0.7573	0.6989	0.2040	
0.2430	0.5499	0.4875	
0.1884	0.2009	0.5354	
0.1527	0.6380	0.1955	
0.9912	0.0453	0.9142	
0.9747	0.7207	0.2828	
0.9221	0.4243	0.9510	
0.4513	0.5158	0.6832	
0.2018	0.9113	0.6179	
0.3756	0.7496	0.5487	
0.7432	0.9621	0.7780	
0.9011	0.7574	0.2332	
0.8605	0.4381	0.1166	
0.9733	0.4555	0.3534	
0.1515	0.5116	0.0996	
0.1232	0.2336	0.3808	
0.1938	0.4397	0.9780	
0.2576	0.1442	0.6141	
0.7282	0.5234	0.5759	
0.2234	0.4038	0.4497	
0.5970	0.0550	0.4458	
