50	10
0.5756	0.5747	0.7065	1.3869	0.8388	1.1431	1.2720	0.9371	1.1936	1.4170	
0.2722	0.4022	0.8103	1.0002	0.9034	0.7836	0.8219	0.2652	0.9149	0.6751	
0.4578	0.5021	0.8163	1.1327	0.9765	1.1688	0.9526	0.5370	0.9638	1.0994	
0.2714	0.3612	0.7497	0.8056	0.8762	0.8774	0.6212	0.1764	0.7019	0.6432	
0.3023	0.2872	0.2588	0.7480	0.2958	0.4581	0.7316	0.6081	0.6572	0.7628	
0.2879	0.2753	0.4549	0.5165	0.5904	0.8347	0.3960	0.2467	0.3910	0.6607	
0.2997	0.2634	0.2835	0.5810	0.3671	0.6197	0.5314	0.4606	0.4696	0.7213	
0.4156	0.5157	0.7488	1.3959	0.8040	0.7599	1.2832	0.7504	1.2861	1.0690	
0.3279	0.3637	0.6775	0.7445	0.8318	0.9975	0.5718	0.2516	0.6086	0.7623	
0.4050	0.5063	0.7516	1.3615	0.8104	0.7641	1.2438	0.7124	1.2530	1.0392	
0.3202	0.3070	0.4022	0.6831	0.5001	0.7205	0.6030	0.4481	0.5643	0.7697	
0.2806	0.2480	0.1783	0.6392	0.2113	0.4024	0.6385	0.5800	0.5528	0.7054	
0.5029	0.5146	0.7353	1.1730	0.8895	1.1634	1.0238	0.6835	0.9907	1.2149	
0.1793	0.1378	0.2048	0.1889	0.3032	0.5440	0.1232	0.1272	0.1005	0.3959	
0.3259	0.4500	0.7481	1.2203	0.7993	0.6702	1.0914	0.5352	1.1374	0.8418	
0.2884	0.3983	0.6991	1.0436	0.7626	0.6651	0.9107	0.4134	0.9632	0.7329	
0.2154	0.1456	0.1802	0.1672	0.2973	0.6302	0.1036	0.1684	0.0587	0.4725	
0.4606	0.3941	0.4071	0.8544	0.5382	0.9527	0.7831	0.7054	0.6808	1.1045	
0.4793	0.5359	0.7598	1.3437	0.8647	0.9846	1.2128	0.7639	1.1927	1.1944	
0.3466	0.3515	0.5907	0.7054	0.7434	0.9826	0.5568	0.3195	0.5611	0.8061	
0.6009	0.5753	0.6891	1.3416	0.8419	1.2285	1.2239	0.9441	1.1307	1.4648	
0.2273	0.2594	0.3922	0.6385	0.4494	0.5015	0.5650	0.3344	0.5648	0.5625	
0.2991	0.3697	0.6560	0.8791	0.7560	0.7838	0.7368	0.3419	0.7763	0.7294	
0.3846	0.4127	0.5292	1.0498	0.6007	0.7238	0.9701	0.6649	0.9312	0.9633	
0.5807	0.5121	0.5174	1.1689	0.6605	1.1283	1.0909	0.9530	0.9608	1.4100	
0.6159	0.6685	0.9818	1.5949	1.1510	1.3825	1.4055	0.8799	1.3847	1.5083	
0.3788	0.3638	0.4852	0.8019	0.6050	0.8683	0.7027	0.5170	0.6599	0.9082	
0.3476	0.5024	0.9475	1.2935	1.0409	0.8891	1.1001	0.4296	1.1930	0.8767	
0.4542	0.4626	0.4910	1.2177	0.5481	0.7235	1.1693	0.8902	1.0850	1.1510	
0.3606	0.3861	0.6381	0.8376	0.7769	0.9615	0.6895	0.3872	0.6982	0.8560	
0.3669	0.3878	0.6285	0.8419	0.7671	0.9635	0.6973	0.4052	0.7004	0.8715	
0.3040	0.3730	0.6025	0.9399	0.6767	0.6858	0.8256	0.4398	0.8458	0.7590	
0.3441	0.4825	0.8797	1.2456	0.9666	0.8444	1.0704	0.4525	1.1463	0.8688	
0.3060	0.3259	0.4440	0.7971	0.5162	0.6339	0.7197	0.4801	0.6964	0.7560	
0.3324	0.4774	0.9727	1.1516	1.0997	0.9968	0.9299	0.2879	1.0403	0.8130	
0.3848	0.3719	0.4865	0.8359	0.6013	0.8569	0.7406	0.5466	0.6947	0.9275	
0.5150	0.4370	0.3912	0.9964	0.5118	0.9590	0.9461	0.8768	0.8120	1.2515	
0.2551	0.3230	0.6019	0.7560	0.6960	0.7107	0.6201	0.2578	0.6660	0.6177	
0.1407	0.2708	0.6428	0.6888	0.7028	0.5109	0.5397	0.0606	0.6488	0.3532	
0.3875	0.3977	0.6670	0.8114	0.8337	1.0869	0.6463	0.3680	0.6524	0.9050	
0.3312	0.4330	0.7084	1.1394	0.7730	0.7080	1.0127	0.5169	1.0469	0.8427	
0.4079	0.5326	0.9235	1.3481	1.0294	0.9756	1.1653	0.5499	1.2237	1.0203	
0.3650	0.5130	0.8271	1.4342	0.8648	0.6816	1.3036	0.6588	1.3503	0.9575	
0.2744	0.2891	0.3070	0.7855	0.3315	0.4068	0.7598	0.5651	0.7106	0.7039	
0.3598	0.5161	0.8692	1.4255	0.9167	0.7224	1.2787	0.6092	1.3402	0.9390	
0.4525	0.3872	0.3756	0.8639	0.4922	0.8880	0.8063	0.7330	0.6981	1.0931	
0.2302	0.2420	0.2790	0.6341	0.3112	0.3862	0.6010	0.4363	0.5666	0.5827	
0.2454	0.3164	0.5568	0.7846	0.6274	0.6104	0.6704	0.3103	0.7066	0.6084	
0.1311	0.1267	0.1852	0.2653	0.2340	0.3302	0.2229	0.1543	0.2134	0.3096	
0.2267	0.2407	0.2578	0.6563	0.2773	0.3346	0.6346	0.4685	0.5949	0.5824	
