35	4
0.3749	0.0595	0.2203	0.1561	
0.3669	0.2002	0.8901	0.6979	
0.2842	0.8682	0.3016	0.2047	
0.9144	0.7709	0.2501	0.6774	
0.6601	0.9319	0.8966	0.1245	
0.4255	0.0808	0.1197	0.5955	
0.6251	0.0699	0.6652	0.7729	
0.6001	0.9773	0.3275	0.5796	
0.9805	0.5217	0.3261	0.6839	
0.7643	0.7877	0.8255	0.4273	
0.7189	0.3098	0.5502	0.2768	
0.8807	0.1185	0.6448	0.9780	
0.0107	0.4854	0.8451	0.9649	
0.5715	0.4153	0.5950	0.7281	
0.9716	0.9158	0.3310	0.7248	
0.5336	0.1595	0.2114	0.6450	
0.0627	0.2036	0.6257	0.0858	
0.5647	0.1501	0.2631	0.5279	
0.2281	0.9577	0.9756	0.8515	
0.4406	0.7487	0.1614	0.2100	
0.0989	0.2065	0.7945	0.8267	
0.1271	0.6657	0.9244	0.2064	
0.8016	0.2196	0.4663	0.4755	
0.2549	0.4493	0.6136	0.2999	
0.4999	0.9404	0.4105	0.3450	
0.5230	0.5819	0.9692	0.9279	
0.0196	0.1477	0.6532	0.0301	
0.8770	0.6295	0.7714	0.7200	
0.4601	0.1843	0.4152	0.3762	
0.9799	0.0829	0.1491	0.5880	
0.5695	0.2139	0.4943	0.3299	
0.8743	0.5264	0.8487	0.8649	
0.2415	0.6667	0.6778	0.8550	
0.1176	0.4590	0.4459	0.5481	
0.1514	0.2155	0.4971	0.0434	
