40	3
0.9976	0.2249	0.1006	
0.3841	0.5430	0.0219	
0.5293	0.9476	0.0843	
0.7842	0.6533	0.4552	
0.1622	0.0341	0.1883	
0.9014	0.3889	0.0751	
0.3103	0.8739	0.3291	
0.6793	0.3883	0.2273	
0.4592	0.7469	0.3372	
0.6642	0.7411	0.5524	
0.6829	0.2298	0.9683	
0.2423	0.9238	0.2272	
0.5437	0.1720	0.4001	
0.1642	0.8303	0.9908	
0.9066	0.4108	0.4620	
0.5727	0.7703	0.9845	
0.8453	0.3400	0.4984	
0.9757	0.8913	0.9880	
0.7964	0.8554	0.5381	
0.5541	0.1319	0.1329	
0.8731	0.6824	0.3392	
0.2676	0.1496	0.7290	
0.9411	0.4104	0.4156	
0.9903	0.5499	0.9247	
0.9174	0.5518	0.0703	
0.0372	0.7730	0.3794	
0.5860	0.7408	0.5652	
0.4210	0.9077	0.7566	
0.0455	0.4637	0.7337	
0.9252	0.4008	0.3812	
0.7513	0.9439	0.9047	
0.0604	0.0956	0.1930	
0.7221	0.5587	0.8903	
0.2863	0.3174	0.2582	
0.9645	0.9448	0.4137	
0.1493	0.6189	0.0033	
0.5972	0.4644	0.5458	
0.4652	0.8790	0.3450	
0.4113	0.7327	0.6456	
0.8805	0.5892	0.9322	
