35	4
0.9627	0.1350	0.5801	0.6818	
0.1249	0.5781	0.2475	0.5632	
0.2086	0.9044	0.9359	0.1500	
0.1550	0.7712	0.5646	0.9862	
0.8076	0.7041	0.8796	0.8150	
0.0674	0.4224	0.9927	0.9122	
0.4906	0.9579	0.9463	0.6840	
0.5984	0.7556	0.4784	0.3030	
0.3650	0.3660	0.1250	0.7318	
0.6886	0.5506	0.0642	0.2762	
0.8569	0.2214	0.3867	0.6152	
0.9006	0.2559	0.5582	0.2949	
0.9515	0.7353	0.9224	0.5183	
0.9000	0.3155	0.9343	0.7389	
0.0065	0.4224	0.8248	0.7440	
0.0419	0.7484	0.1836	0.4035	
0.8709	0.3531	0.3931	0.1609	
0.4444	0.4465	0.9128	0.0224	
0.4425	0.0339	0.5342	0.1059	
0.3306	0.7280	0.4515	0.9320	
0.9397	0.6214	0.2856	0.6155	
0.7128	0.1258	0.6228	0.6333	
0.9389	0.2155	0.1818	0.0067	
0.5310	0.3084	0.9271	0.2149	
0.0218	0.0310	0.7140	0.0810	
0.8204	0.2015	0.8324	0.1615	
0.2875	0.0674	0.4965	0.0918	
0.8674	0.0002	0.9632	0.1341	
0.8602	0.6364	0.8433	0.0718	
0.5506	0.8028	0.1139	0.2688	
0.4572	0.3943	0.9362	0.0401	
0.8500	0.2627	0.6884	0.7441	
0.3478	0.2838	0.3071	0.9448	
0.2385	0.7136	0.8607	0.2214	
0.0509	0.1941	0.9485	0.6006	
