25	3
0.8078	0.8420	0.5839	
0.3551	0.1647	0.1606	
0.5478	0.1151	0.5288	
0.7174	0.2716	0.4627	
0.2025	0.3144	0.3795	
0.6438	0.6061	0.0932	
0.0001	0.6775	0.2591	
0.5132	0.9876	0.3358	
0.5698	0.9933	0.3751	
0.0070	0.7575	0.1463	
0.8925	0.2751	0.3168	
0.8332	0.9540	0.2812	
0.7752	0.4111	0.8201	
0.7881	0.2166	0.3421	
0.3736	0.6291	0.8720	
0.1523	0.0149	0.2680	
0.3523	0.0433	0.7754	
0.6451	0.1803	0.6092	
0.9319	0.2005	0.0180	
0.0933	0.7194	0.7015	
0.7388	0.4429	0.0158	
0.0553	0.8455	0.6839	
0.7572	0.3898	0.8779	
0.4635	0.8376	0.4318	
0.0450	0.7484	0.6313	
