25	30
1.1782	1.1108	1.0595	1.8458	1.3389	1.6404	1.6464	1.6335	1.9668	1.6376	1.0362	1.2638	1.5720	0.9659	0.6631	1.5362	1.4909	0.4207	1.6671	1.7717	2.0369	1.3116	0.8579	1.3617	1.3099	1.3625	0.1756	1.4071	0.9769	1.6970	
1.0918	1.0779	1.0494	1.6959	1.2159	1.5756	1.5753	1.5766	1.8381	1.4979	0.9374	1.2187	1.4173	0.9266	0.6276	1.4084	1.3724	0.4512	1.5313	1.7514	1.8926	1.1577	0.8544	1.3363	1.2900	1.2448	0.1853	1.3464	0.9563	1.5533	
1.1271	0.9579	0.8429	1.7393	1.1966	1.3352	1.4061	1.3426	1.7937	1.5137	0.9645	1.0093	1.4618	0.7987	0.5278	1.3376	1.3645	0.2440	1.5669	1.3715	1.8314	1.1556	0.7542	1.0361	0.9646	1.1815	0.1270	1.1790	0.8695	1.5372	
0.8990	0.8860	0.9263	1.5521	1.3916	1.6152	1.4686	1.5318	1.6567	1.4938	0.9857	1.2829	1.5197	0.9221	0.7378	1.6312	1.3547	0.4492	1.4155	1.6821	1.8564	1.5916	0.5304	1.3984	1.4124	1.4835	0.1312	1.3288	0.6615	1.6403	
1.1362	1.0605	0.8334	1.5004	1.2119	1.3979	1.5041	1.4296	1.5605	1.2483	0.8987	1.3414	1.1964	0.8268	0.5887	1.5449	1.1852	0.5582	1.3656	1.5733	1.8278	1.2514	0.9756	1.2734	1.2143	1.3610	0.2095	1.5703	1.0739	1.5443	
1.3797	1.2553	0.8822	1.7240	1.6644	1.7320	1.8467	1.7431	1.7342	1.4474	1.1604	1.8630	1.4581	1.0106	0.8064	2.2152	1.3999	0.8038	1.5860	1.9062	2.3005	1.9260	1.1563	1.6626	1.6150	1.9735	0.2591	2.1721	1.2966	2.0383	
0.7152	0.5365	0.2966	0.9079	0.7959	0.6767	0.7889	0.6895	0.8524	0.7464	0.5939	0.7402	0.7660	0.4058	0.3160	1.0130	0.7000	0.2246	0.8298	0.6589	1.0932	0.9162	0.4995	0.5850	0.5394	0.9004	0.0829	0.9220	0.5778	0.9881	
1.3810	1.3223	1.2280	2.1368	1.8811	2.1490	2.0727	2.0876	2.2503	1.9594	1.3457	1.8497	1.9660	1.2402	0.9660	2.2810	1.8061	0.6943	1.9494	2.2892	2.5939	2.1066	0.9631	1.9008	1.8855	2.0535	0.2225	2.0123	1.1330	2.2685	
0.5495	0.7099	0.8823	1.0456	0.9071	1.3340	1.1460	1.2700	1.2287	1.0414	0.6229	0.9814	1.0122	0.7543	0.5774	1.0580	0.9529	0.4501	0.9516	1.5185	1.2872	0.9649	0.4228	1.2077	1.2403	0.9610	0.1362	0.9426	0.4941	1.0745	
0.8138	0.6294	0.3002	0.9704	1.1968	0.9656	1.0258	0.9336	0.8727	0.8443	0.7892	1.2156	0.9486	0.5530	0.5357	1.6259	0.8199	0.4711	0.9078	0.9391	1.4260	1.5911	0.5477	0.9564	0.9471	1.4726	0.1161	1.4293	0.6639	1.3825	
