50	3
0.9995	0.7758	0.2565	
0.6735	0.2317	0.3598	
0.5498	0.6506	0.8085	
0.7720	0.0319	0.5662	
0.3197	0.9751	0.7821	
0.6893	0.1148	0.4878	
0.3648	0.1424	0.4416	
0.0733	0.7191	0.3379	
0.9179	0.3279	0.0548	
0.1028	0.6779	0.6923	
0.7484	0.1017	0.0177	
0.7843	0.5599	0.4214	
0.3531	0.1228	0.8814	
0.0212	0.2509	0.0015	
0.0164	0.5702	0.5007	
0.3390	0.0089	0.7548	
0.7205	0.4685	0.6755	
0.9014	0.2940	0.1811	
0.4737	0.2593	0.9960	
0.0557	0.5195	0.8915	
0.4078	0.5011	0.6960	
0.3358	0.0646	0.1020	
0.3041	0.4848	0.8717	
0.2965	0.8193	0.9084	
0.9714	0.6597	0.9061	
0.5753	0.1942	0.5671	
0.2374	0.9589	0.4082	
0.9117	0.9539	0.1006	
0.0378	0.9069	0.5439	
0.5570	0.3811	0.4402	
0.6745	0.6418	0.6305	
0.9325	0.8203	0.2145	
0.9885	0.4170	0.6398	
0.1724	0.7178	0.9684	
0.0030	0.8323	0.6972	
0.1232	0.6694	0.8842	
0.1643	0.5570	0.9268	
0.5717	0.9598	0.9453	
0.5674	0.8947	0.5179	
0.7577	0.1259	0.1782	
0.1105	0.4532	0.8220	
0.7354	0.3034	0.0489	
0.5331	0.1270	0.1292	
0.4641	0.3204	0.9319	
0.5944	0.3694	0.2809	
0.9832	0.8570	0.9441	
0.3652	0.1809	0.6843	
0.2755	0.0993	0.6741	
0.3280	0.0176	0.3767	
0.8878	0.7979	0.8681	
