20	25
0.8761	0.6215	0.4436	0.3365	0.8643	0.3404	0.7195	0.8405	0.4999	0.7351	0.9401	0.5907	0.9895	0.6517	0.5249	0.6475	0.6416	0.6959	0.7151	0.7917	0.4453	0.4812	0.6765	0.3849	0.3510	
1.7623	1.6601	1.1843	0.6780	1.8744	0.7977	1.3843	2.0679	0.8804	1.5835	1.9226	1.4076	1.9346	1.6658	1.4813	1.2472	1.4624	1.6086	1.5597	1.5105	1.1233	1.5697	1.7451	1.0951	1.0541	
1.6078	1.5750	1.0713	0.7034	1.6749	0.7272	1.3671	2.0257	0.8641	1.4430	1.8638	1.1956	1.9191	1.5429	1.5038	1.2966	1.3738	1.5214	1.4024	1.4602	1.2180	1.5653	1.7075	1.0893	1.0815	
1.1870	1.4118	0.9268	0.4604	1.3994	0.4721	0.9577	1.6652	0.6447	1.2188	1.3900	1.0204	1.4312	1.1858	1.3528	0.9340	1.2360	1.3213	1.2271	1.0666	1.0125	1.4369	1.3130	0.8725	0.9133	
0.8196	1.0383	0.7015	0.3165	0.9800	0.3724	0.6363	1.2067	0.3970	0.8427	0.9491	0.7566	0.9446	0.9115	0.9890	0.6081	0.8546	0.9269	0.8488	0.7015	0.7142	1.0949	0.9925	0.6703	0.6927	
1.3334	1.4192	0.8649	0.6676	1.3998	0.5199	1.2734	1.8664	0.8533	1.2609	1.7045	0.8784	1.8456	1.2218	1.4847	1.3108	1.2862	1.4007	1.2194	1.3517	1.2895	1.4728	1.4867	0.9699	1.0284	
1.0115	0.7416	0.5590	0.6171	0.7665	0.6705	0.9880	1.2195	0.4817	0.6392	1.2210	0.5441	1.2229	1.1076	0.7702	0.9161	0.5115	0.6872	0.5304	0.9352	0.7680	0.8269	1.2670	0.7892	0.7161	
1.1004	1.5425	0.9654	0.5429	1.2938	0.4989	0.9972	1.8727	0.6150	1.1555	1.4401	0.9175	1.4934	1.2883	1.6121	1.0438	1.2454	1.3630	1.1416	1.0558	1.2737	1.7432	1.5359	1.0636	1.1451	
1.6498	1.6304	1.0025	0.7890	1.7147	0.6146	1.5464	2.1577	1.0612	1.5362	2.0546	1.0711	2.2320	1.4137	1.6684	1.5679	1.5339	1.6600	1.4892	1.6578	1.4576	1.6182	1.6950	1.0823	1.1358	
0.8082	1.0432	0.7491	0.2804	0.9808	0.4235	0.5616	1.1766	0.3135	0.8185	0.8770	0.8264	0.8183	0.9845	0.9473	0.4954	0.8065	0.8885	0.8293	0.6205	0.6284	1.1075	1.0176	0.6894	0.6886	
1.9346	1.8393	1.2715	0.9308	1.9023	0.9809	1.7036	2.4703	1.0042	1.6310	2.2780	1.3645	2.3243	1.9593	1.7963	1.6128	1.5227	1.7420	1.5459	1.7627	1.5111	1.8966	2.1940	1.4016	1.3684	
1.4843	1.3265	0.9643	0.7124	1.4069	0.8189	1.2772	1.8163	0.7099	1.1823	1.6972	1.0532	1.6922	1.5468	1.2598	1.1675	1.0543	1.2393	1.1058	1.3034	1.0559	1.3626	1.6887	1.0675	1.0065	
1.4738	1.2832	0.9682	0.5572	1.5139	0.7271	1.1213	1.6236	0.6767	1.2527	1.5469	1.1826	1.5169	1.4187	1.0915	0.9622	1.1010	1.2368	1.2230	1.2112	0.8110	1.1851	1.4380	0.8864	0.8135	
1.3183	1.2387	0.7849	0.5860	1.3765	0.4865	1.1843	1.6214	0.8221	1.2178	1.5798	0.8872	1.7027	1.0948	1.2184	1.1705	1.1877	1.2792	1.1885	1.2853	1.0431	1.1771	1.2675	0.7949	0.8186	
1.3867	1.6164	1.0620	0.7013	1.4625	0.7018	1.2549	2.0773	0.7329	1.2795	1.7332	1.0476	1.7748	1.5512	1.6568	1.2486	1.2890	1.4555	1.2290	1.2960	1.3572	1.7865	1.8015	1.2039	1.2352	
1.0645	1.0408	0.6404	0.8251	0.7926	0.6946	1.2558	1.6953	0.6363	0.7293	1.5445	0.4360	1.6395	1.2691	1.2811	1.3152	0.7184	0.9318	0.5854	1.1607	1.3109	1.3271	1.6533	1.0916	1.1003	
1.6669	1.4226	0.8047	1.0316	1.4537	0.6913	1.8294	2.2061	1.1894	1.3511	2.2651	0.7261	2.5349	1.3872	1.6429	1.9194	1.3377	1.5186	1.2188	1.8517	1.6831	1.4945	1.8378	1.1560	1.2068	
1.0561	0.9746	0.6688	0.5223	1.0170	0.5327	0.9498	1.3355	0.5626	0.8755	1.2550	0.7133	1.2909	1.0499	0.9624	0.9052	0.8140	0.9348	0.8235	0.9780	0.8304	1.0026	1.1879	0.7548	0.7363	
1.0078	0.7242	0.4090	0.5728	0.8731	0.3688	1.0693	1.1588	0.7342	0.8041	1.3067	0.4263	1.4788	0.7099	0.8058	1.0985	0.7625	0.8484	0.7334	1.1063	0.8600	0.6694	0.9275	0.5524	0.5660	
1.9314	1.5164	1.1126	0.8357	1.8462	0.9357	1.6140	2.0805	0.9888	1.5515	2.1224	1.3378	2.1576	1.7446	1.3548	1.4480	1.3479	1.5355	1.4747	1.7021	1.1408	1.3845	1.8509	1.1190	1.0282	
