40	15
0.7437	1.2413	0.8490	1.1165	0.6617	0.5270	1.4627	0.9497	0.7099	1.7449	0.7356	1.1550	0.6399	0.8379	1.0509	
1.1594	1.4948	0.6812	1.3425	1.0024	0.9251	1.7255	1.1594	1.3280	2.2835	1.3089	1.3684	0.9602	1.2201	1.0996	
0.7980	1.0675	0.5971	0.9834	0.6388	0.6134	1.2738	0.8287	0.8430	1.6078	0.8327	1.0271	0.6675	0.8488	0.8270	
0.6726	1.3974	0.7412	1.1130	0.9364	0.4968	1.4465	1.0443	0.8115	1.8641	0.8849	1.0327	0.5821	0.8029	1.1504	
0.7654	0.7727	0.3266	0.7570	0.5061	0.6236	0.9679	0.6159	0.8482	1.2892	0.8009	0.8179	0.6246	0.7675	0.5243	
0.6053	0.3158	0.0805	0.4175	0.1914	0.5123	0.5251	0.2806	0.6371	0.7186	0.5522	0.5235	0.4806	0.5542	0.1339	
0.2040	0.4252	0.2519	0.3474	0.2653	0.1454	0.4535	0.3186	0.2274	0.5660	0.2491	0.3311	0.1779	0.2443	0.3586	
0.6031	1.0213	0.5283	0.8571	0.6733	0.4600	1.1101	0.7745	0.6990	1.4353	0.7274	0.8315	0.5117	0.6787	0.8123	
1.0260	0.8022	0.3158	0.8777	0.4993	0.8473	1.1170	0.6629	1.0969	1.4894	0.9953	1.0110	0.8275	0.9874	0.4867	
1.2660	1.4412	0.9130	1.4453	0.7471	0.9663	1.8767	1.1424	1.2240	2.2899	1.1636	1.6016	1.0531	1.3040	1.1097	
0.3149	0.3609	0.1366	0.3298	0.2563	0.2584	0.4209	0.2826	0.3709	0.5749	0.3591	0.3388	0.2578	0.3229	0.2490	
0.4482	1.0852	0.3036	0.7401	0.9445	0.3771	0.9419	0.7937	0.7619	1.4081	0.8443	0.5661	0.3817	0.5568	0.8229	
0.9907	1.1775	0.5308	1.0890	0.7794	0.7952	1.3978	0.9212	1.1171	1.8492	1.0843	1.1334	0.8164	1.0250	0.8476	
0.6877	1.1780	0.6444	0.9970	0.7520	0.5169	1.2944	0.8937	0.7741	1.6493	0.8077	0.9760	0.5856	0.7770	0.9499	
1.1813	1.1885	0.8327	1.2782	0.5306	0.8970	1.6629	0.9593	1.0704	1.9750	0.9866	1.4785	0.9791	1.1904	0.9108	
0.7237	1.1484	0.6259	0.9942	0.7248	0.5493	1.2893	0.8768	0.8023	1.6425	0.8228	0.9908	0.6123	0.8014	0.9137	
0.8042	1.1092	0.7687	1.0614	0.5575	0.5869	1.3874	0.8636	0.7477	1.6497	0.7383	1.1458	0.6811	0.8643	0.9120	
0.6640	1.3835	0.5809	1.0493	1.0417	0.5206	1.3515	1.0284	0.9117	1.8492	0.9895	0.9203	0.5677	0.7902	1.0907	
0.5458	0.5391	0.4680	0.6147	0.1713	0.3974	0.8067	0.4393	0.4292	0.8995	0.3861	0.7378	0.4561	0.5500	0.4397	
0.7672	1.1115	0.7609	1.0437	0.5730	0.5574	1.3646	0.8610	0.7226	1.6283	0.7223	1.1123	0.6519	0.8340	0.9193	
0.9163	1.1240	0.4903	1.0213	0.7617	0.7376	1.3100	0.8757	1.0527	1.7466	1.0287	1.0487	0.7557	0.9538	0.8102	
0.8198	1.0656	0.1671	0.8460	0.9540	0.7170	1.0606	0.8147	1.1701	1.6335	1.1677	0.7606	0.6644	0.8578	0.6839	
0.7326	1.3543	0.9157	1.1806	0.7448	0.5106	1.5480	1.0275	0.7142	1.8529	0.7607	1.1927	0.6363	0.8488	1.1603	
0.7715	1.2068	0.7241	1.0720	0.7100	0.5734	1.3954	0.9248	0.8049	1.7311	0.8219	1.0933	0.6551	0.8526	0.9789	
0.6325	1.0843	0.5696	0.9095	0.7099	0.4800	1.1789	0.8217	0.7291	1.5185	0.7608	0.8825	0.5376	0.7143	0.8669	
0.1934	0.3898	0.3014	0.3451	0.1893	0.1247	0.4559	0.2952	0.1632	0.5208	0.1795	0.3548	0.1713	0.2306	0.3498	
1.1733	0.9106	0.6272	1.0914	0.3642	0.9159	1.4126	0.7628	1.0593	1.6879	0.9338	1.3313	0.9586	1.1334	0.6362	
0.9432	1.2931	0.8658	1.2295	0.6717	0.6950	1.6046	1.0064	0.8984	1.9279	0.8870	1.3201	0.7970	1.0117	1.0523	
0.7489	0.9390	0.7844	0.9732	0.3593	0.5279	1.2806	0.7429	0.5956	1.4366	0.5679	1.1101	0.6358	0.7907	0.7998	
1.2866	1.3325	0.8753	1.3970	0.6457	0.9853	1.8137	1.0695	1.2095	2.1917	1.1260	1.5903	1.0656	1.3022	1.0108	
0.7837	0.9696	0.2027	0.8033	0.8230	0.6742	1.0117	0.7470	1.0607	1.5093	1.0484	0.7544	0.6363	0.8128	0.6302	
0.8124	1.2814	0.7616	1.1329	0.7606	0.6046	1.4742	0.9810	0.8540	1.8340	0.8738	1.1510	0.6901	0.8996	1.0386	
0.4866	0.4211	0.3889	0.5141	0.1050	0.3567	0.6746	0.3503	0.3705	0.7410	0.3222	0.6378	0.4043	0.4799	0.3378	
0.5423	0.5216	0.3203	0.5559	0.2621	0.4227	0.7191	0.4219	0.5228	0.8837	0.4819	0.6374	0.4462	0.5412	0.3801	
0.2511	0.4308	0.0649	0.3065	0.4027	0.2225	0.3842	0.3208	0.4055	0.6082	0.4231	0.2442	0.2059	0.2803	0.2931	
0.8684	1.4664	0.7144	1.2167	0.9995	0.6713	1.5723	1.1108	1.0375	2.0639	1.0791	1.1666	0.7346	0.9756	1.1518	
1.2756	1.4023	0.8576	1.4147	0.7417	0.9833	1.8335	1.1151	1.2508	2.2575	1.1829	1.5717	1.0573	1.3043	1.0605	
0.2204	0.2795	0.0738	0.2344	0.2268	0.1867	0.2966	0.2153	0.2900	0.4310	0.2872	0.2233	0.1799	0.2300	0.1877	
0.8611	0.6953	0.3109	0.7613	0.4102	0.7032	0.9724	0.5729	0.8997	1.2715	0.8170	0.8793	0.6970	0.8333	0.4398	
1.1599	1.1459	0.9193	1.2809	0.4206	0.8594	1.6752	0.9311	0.9663	1.9142	0.8771	1.5183	0.9657	1.1673	0.9107	
