50	5
0.3999	0.0815	0.8494	0.0818	0.4502	
0.5136	0.7448	0.1399	0.4631	0.0411	
0.7933	0.1929	0.2307	0.0913	0.9557	
0.3954	0.0007	0.3756	0.5895	0.4831	
0.1607	0.0216	0.2031	0.8403	0.0832	
0.5695	0.4022	0.6674	0.0406	0.0532	
0.5972	0.5911	0.1253	0.3848	0.6309	
0.8209	0.0471	0.8374	0.5299	0.3049	
0.9934	0.0032	0.7028	0.6483	0.7402	
0.3426	0.5764	0.2941	0.1093	0.5629	
0.0006	0.3505	0.7530	0.7577	0.7125	
0.0630	0.1623	0.8356	0.3941	0.6457	
0.4660	0.6232	0.2716	0.0353	0.3069	
0.9872	0.5510	0.5248	0.0626	0.5436	
0.0395	0.8494	0.0100	0.0100	0.7975	
0.3666	0.4014	0.7423	0.5759	0.6781	
0.1700	0.0540	0.9675	0.7613	0.9739	
0.8667	0.9981	0.9761	0.0871	0.6602	
0.6382	0.0433	0.6635	0.0629	0.2466	
0.8871	0.1260	0.4198	0.6401	0.4508	
0.7649	0.4581	0.0085	0.9049	0.2519	
0.4853	0.8023	0.3629	0.4100	0.7605	
0.0685	0.4037	0.6896	0.7817	0.5222	
0.5179	0.7548	0.4046	0.5060	0.1086	
0.4062	0.3398	0.2369	0.2624	0.6863	
0.5817	0.3439	0.9567	0.3792	0.6626	
0.9664	0.6121	0.2465	0.4725	0.9057	
0.9626	0.9406	0.0381	0.7198	0.4898	
0.9984	0.1772	0.2633	0.5795	0.4633	
0.5135	0.1176	0.8071	0.4676	0.6634	
0.7220	0.4587	0.7966	0.2588	0.9375	
0.1458	0.9764	0.1268	0.6434	0.3269	
0.1868	0.7935	0.1283	0.0383	0.0232	
0.2377	0.1570	0.0652	0.0606	0.7731	
0.9196	0.7900	0.8300	0.7397	0.0849	
0.0817	0.7172	0.5866	0.0218	0.5356	
0.6959	0.3056	0.3393	0.6491	0.7984	
0.1887	0.1436	0.7577	0.8880	0.5475	
0.8171	0.9929	0.6781	0.8998	0.8028	
0.3244	0.7731	0.2704	0.2941	0.3156	
0.8004	0.5132	0.6137	0.8128	0.3965	
0.8159	0.3782	0.4762	0.5675	0.4707	
0.3170	0.2663	0.2008	0.9330	0.2640	
0.2033	0.5968	0.5885	0.7985	0.7773	
0.1615	0.1079	0.8599	0.2767	0.4941	
0.9114	0.6834	0.7396	0.9984	0.6269	
0.7073	0.2062	0.8484	0.7268	0.5122	
0.1207	0.8884	0.5146	0.2866	0.8445	
0.6404	0.6186	0.3411	0.5916	0.8010	
0.1489	0.0357	0.1812	0.7491	0.4957	
