0.2816	0.8776	0.1511	0.1163	0.7948	
0.0039	0.1190	0.7760	0.5915	0.2663	
0.0305	0.6412	0.5024	0.6453	0.3632	
0.6915	0.5624	0.7252	0.0605	0.1206	
0.2722	0.8570	0.7815	0.8133	0.5172	
0.0987	0.7477	0.9521	0.9586	0.7952	
0.3815	0.0308	0.6086	0.7587	0.9033	
0.6333	0.8535	0.3043	0.4919	0.1405	
0.3410	0.4687	0.8954	0.5930	0.2266	
0.6309	0.4859	0.3578	0.3728	0.3066	
0.6531	0.5158	0.1184	0.1481	0.5037	
0.9167	0.3885	0.3612	0.2918	0.2206	
0.7182	0.3843	0.4366	0.6369	0.3736	
0.1129	0.2048	0.7065	0.4493	0.3819	
0.6850	0.1088	0.8945	0.8669	0.7361	
0.2378	0.7150	0.1099	0.6937	0.8104	
0.8782	0.0223	0.8723	0.6038	0.7512	
0.6296	0.9977	0.0873	0.3906	0.2026	
0.0565	0.0759	0.2157	0.4719	0.0520	
0.6997	0.3923	0.0075	0.2889	0.9712	
0.4305	0.3321	0.3948	0.9746	0.0108	
0.2346	0.6536	0.6740	0.0812	0.5114	
0.6637	0.4933	0.7896	0.4280	0.1455	
0.5914	0.0233	0.5192	0.0816	0.5375	
0.7556	0.0407	0.5555	0.8528	0.8955	
0.3270	0.4039	0.4935	0.8839	0.4539	
0.7325	0.4691	0.9353	0.2263	0.1687	
0.0294	0.9538	0.8918	0.4789	0.3759	
0.1086	0.2890	0.5836	0.6386	0.2676	
0.8783	0.6584	0.5146	0.4062	0.9861	
0.3284	0.6672	0.3504	0.0910	0.8990	
0.9815	0.0100	0.1690	0.7014	0.6307	
0.5922	0.7161	0.6473	0.7838	0.3103	
0.2595	0.4718	0.1508	0.6851	0.5589	
0.3523	0.0881	0.1324	0.6995	0.7742	
0.4874	0.4547	0.1039	0.3308	0.0822	
0.2767	0.3696	0.8206	0.6733	0.7278	
0.8021	0.9457	0.1069	0.8209	0.4527	
0.2659	0.2459	0.3604	0.8842	0.1448	
0.1904	0.7934	0.7578	0.7827	0.0879	
0.7432	0.9038	0.8680	0.4662	0.8970	
0.6795	0.9074	0.0767	0.7880	0.4540	
0.7009	0.2256	0.5666	0.2741	0.8887	
0.1640	0.3341	0.3459	0.0674	0.4053	
0.3853	0.0169	0.1715	0.9844	0.5513	
0.6354	0.4176	0.8278	0.4658	0.0864	
0.1530	0.8162	0.5924	0.1493	0.7771	
0.1633	0.8410	0.8151	0.3727	0.1283	
0.8113	0.0841	0.3415	0.4035	0.1145	
0.8229	0.9698	0.9019	0.5587	0.5651	
