0.2811	0.9526	0.4050	0.6668	
0.5502	0.9154	0.4657	0.4894	
0.9558	0.1827	0.3686	0.4699	
0.2518	0.6685	0.5620	0.3849	
0.5382	0.0965	0.5524	0.1474	
0.5828	0.9842	0.1826	0.8172	
0.4837	0.7437	0.6729	0.1103	
0.4815	0.2134	0.6424	0.8155	
0.2916	0.6174	0.8163	0.8204	
0.1816	0.3356	0.2650	0.2682	
0.2328	0.6326	0.7992	0.0968	
0.4883	0.5158	0.3114	0.5570	
0.6645	0.7869	0.7153	0.8315	
0.0420	0.5026	0.9133	0.6770	
0.9505	0.1645	0.7036	0.2552	
0.4457	0.5075	0.0869	0.2735	
0.4304	0.8228	0.5078	0.2768	
0.7476	0.4288	0.7762	0.7263	
0.2451	0.1577	0.5033	0.7500	
0.7428	0.6749	0.0585	0.3519	
0.2846	0.2766	0.6680	0.9537	
0.0614	0.3748	0.4097	0.9516	
0.6128	0.3968	0.0010	0.5999	
0.3786	0.1321	0.6743	0.7166	
0.8188	0.9662	0.4614	0.8968	
0.0507	0.9612	0.9577	0.1142	
0.8827	0.0140	0.3866	0.4348	
0.0811	0.5094	0.2602	0.8443	
0.8363	0.1951	0.2081	0.6297	
0.6967	0.8530	0.6347	0.8202	
0.6033	0.8529	0.3543	0.0732	
0.5137	0.5743	0.1354	0.9798	
0.2478	0.3170	0.2167	0.7197	
0.7042	0.3868	0.6061	0.9665	
0.5467	0.7648	0.4438	0.3480	
0.8816	0.6804	0.4804	0.5979	
0.1346	0.1253	0.8870	0.4832	
0.8688	0.6198	0.0126	0.8307	
0.9809	0.6877	0.5785	0.0714	
0.3700	0.7603	0.0664	0.4643	
0.1944	0.2271	0.2924	0.2084	
0.4839	0.2243	0.4870	0.6988	
0.4381	0.0150	0.1762	0.7319	
0.1596	0.5853	0.4961	0.0805	
0.9235	0.7328	0.6218	0.3988	
0.4199	0.8646	0.7320	0.9225	
0.6593	0.0788	0.9879	0.4365	
0.4195	0.4326	0.4020	0.2373	
0.9355	0.8048	0.8846	0.2288	
0.7124	0.5096	0.1904	0.2714	
